Rank,Word,Total Importance Score,PC1 Loading,PC2 Loading,PC3 Loading,PC4 Loading,PC5 Loading
1,inference,0.837735,-0.179661,0.267211,0.161569,-0.100213,0.129081
2,active inference,0.832114,-0.205416,0.287591,0.144278,-0.046038,0.148792
3,active,0.824170,-0.209476,0.267876,0.140829,-0.078706,0.127283
4,energy,0.712511,0.302921,0.216769,-0.052960,0.096143,-0.043718
5,free,0.705529,0.289844,0.219561,-0.055234,0.098282,-0.042608
6,free energy,0.699648,0.298254,0.215511,-0.047218,0.099087,-0.039578
7,ai,0.614786,-0.035876,-0.088752,-0.026216,0.078539,0.385404
8,agents,0.608196,-0.091856,0.152406,-0.177814,0.027405,0.158714
9,agent,0.521375,-0.102007,0.134111,-0.150556,0.100279,0.034422
10,control,0.511324,-0.073438,0.103977,0.286140,-0.030624,-0.017146
11,deep,0.508508,-0.069607,0.100052,0.153749,0.060827,-0.124271
12,navigation,0.500902,-0.073477,0.004258,-0.189438,0.161468,-0.072262
13,data,0.486096,-0.047467,-0.153014,0.018597,-0.122805,-0.144213
14,learning,0.480695,-0.089733,0.053559,0.053517,0.176312,-0.107573
15,fep,0.466982,0.263039,0.034479,0.006822,0.159050,-0.003592
16,cognitive,0.454165,-0.028912,-0.097489,0.023127,0.149982,0.154655
17,human,0.452742,-0.053818,-0.130777,0.039727,0.126798,0.101621
18,exploration,0.443571,-0.060945,0.060663,-0.170893,0.090923,-0.060148
19,principle,0.434608,0.259114,0.057714,-0.012286,0.092692,0.012802
20,energy principle,0.405954,0.249018,0.056660,-0.017510,0.082724,0.000042
21,activity,0.400667,-0.003959,-0.150764,-0.012015,-0.124907,-0.109023
22,brain,0.391244,0.077502,-0.018436,0.153913,0.128551,0.012841
23,systems,0.387471,0.112695,-0.025625,0.001140,-0.052970,0.195042
24,aif,0.381727,-0.065994,0.056647,-0.148368,0.088122,0.022596
25,bayesian,0.362565,0.087190,0.047397,0.052617,-0.147889,0.027472
26,robot,0.349512,-0.040979,-0.039968,0.072205,0.112143,-0.084215
27,model,0.349108,-0.059416,-0.006251,0.000810,0.181741,-0.100889
28,environments,0.333213,-0.070386,0.039734,-0.134896,0.080129,0.008069
29,neural,0.327732,0.038889,-0.014121,0.100693,0.096392,-0.077637
30,perception,0.326780,-0.008309,0.030017,0.166470,0.106611,0.015372
31,deep active,0.322930,-0.050542,0.085391,0.080341,0.041896,-0.064761
32,action,0.318473,-0.033129,0.059021,0.111706,0.090502,-0.024115
33,information,0.315376,0.054529,-0.070456,-0.078722,-0.068373,-0.043295
34,predictive,0.314453,0.003231,-0.043548,0.097467,0.131033,0.039175
35,self,0.311993,0.063444,-0.032214,-0.021985,0.128936,0.065414
36,goal,0.311662,-0.055858,0.036345,-0.067003,0.082478,-0.069978
37,motor,0.307006,-0.029954,-0.010564,0.088329,0.126930,-0.051230
38,intelligence,0.306551,-0.007331,-0.050845,-0.019916,0.042844,0.185615
39,decision,0.298559,-0.044904,0.062259,-0.102613,-0.030079,0.058706
40,cognition,0.287247,0.015245,-0.063679,0.032812,0.056404,0.119107
41,expected,0.286400,-0.000126,0.161450,-0.076148,-0.025411,-0.023265
42,state,0.283387,-0.009249,0.087801,0.087385,0.009005,-0.089947
43,planning,0.282390,-0.084860,0.097577,-0.061042,0.000974,-0.037936
44,robotics,0.264315,-0.021535,-0.028434,0.074591,0.077555,0.062199
45,theory,0.261004,0.066770,0.020647,0.096722,0.000990,0.075876
46,environment,0.253996,-0.036217,0.019409,-0.047474,0.108759,-0.042138
47,embodied,0.253259,0.002208,-0.048275,0.033461,0.067459,0.101856
48,reward,0.252549,-0.051008,0.084515,-0.089425,-0.014321,0.013280
49,sensory,0.251925,0.004557,0.006374,0.084085,0.081142,-0.075766
50,directed,0.251842,-0.035364,0.028245,-0.042012,0.081315,-0.064906
51,markov,0.249332,0.064901,0.029116,-0.033872,-0.094244,0.027199
52,states,0.247383,0.069968,0.049676,0.012684,-0.086071,0.028984
53,decision making,0.246140,-0.039306,0.042883,-0.088738,0.012492,0.062721
54,network,0.242896,-0.002948,-0.050684,0.036918,0.074058,-0.078288
55,goal directed,0.242744,-0.032896,0.024647,-0.035916,0.081596,-0.067690
56,mechanics,0.239221,0.104344,-0.003463,0.016668,-0.097850,0.016896
57,user,0.237895,-0.035237,-0.061571,-0.049007,-0.053924,-0.038156
58,efe,0.236524,0.001302,0.118903,-0.086453,-0.023889,-0.005978
59,predictive coding,0.235765,0.015374,-0.036579,0.070582,0.098958,0.014272
60,coding,0.235556,0.016587,-0.038951,0.069953,0.098592,0.011473
61,variational,0.231876,0.074769,0.106297,0.026245,-0.001953,-0.022612
62,making,0.231803,-0.032220,0.041636,-0.088224,0.012878,0.056845
63,task,0.227417,-0.047161,-0.012463,-0.055090,0.025137,-0.087565
64,interaction,0.226169,-0.016074,-0.041892,0.029782,0.090978,0.047443
65,models,0.224587,-0.035023,-0.052927,0.077137,0.034140,0.025361
66,behavior,0.220957,-0.048532,0.006135,-0.067388,0.094457,0.004445
67,curiosity,0.220848,-0.018802,-0.019631,-0.106882,0.054907,-0.020627
68,expected free,0.218927,-0.004833,0.134838,-0.047632,-0.009102,-0.022522
69,framework,0.212727,-0.039357,0.020403,-0.028119,0.038681,0.086167
70,rl,0.208376,-0.041614,0.110964,-0.049361,0.006390,0.000047
71,training,0.206428,-0.041612,-0.056146,-0.030544,0.027604,-0.050522
72,problem,0.206233,-0.027875,0.036869,0.019633,-0.080946,-0.040910
73,world,0.201941,-0.051892,0.008755,-0.016368,0.108684,-0.016242
74,estimation,0.201108,0.012924,0.019750,0.106136,-0.011371,-0.050926
75,body,0.198900,-0.006214,-0.017464,0.084728,0.077811,-0.012683
76,actions,0.197443,-0.047881,0.058389,-0.023855,0.062847,-0.004472
77,beliefs,0.197429,0.016328,0.036939,-0.051090,-0.069282,0.023789
78,visual,0.196487,-0.014433,-0.011079,0.053175,0.060941,-0.056859
